Signal Legend:

Key        Signal Name

0        = PC[4..0]
1        = reset
2        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|actual_outcome
3        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|flush
4        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|prediction
5        = BPU:bpu|ghr_E[4..0]
6        = REGISTER_FILE:REG_FILE|registers[8][0..31]

Data Table:

Signals-> 0  1 2 3 4 5      6                                 

sample

361       4  0 0 0 0 00000b 00000000011101111110011011011111b 
362       2  0 0 0 0 00000b 00000000011101111110011011011111b 
363       3  0 0 0 0 00000b 00000000011101111110011011011111b 
364       4  0 0 0 0 00000b 00000000011101111110011011100000b 
365       2  0 0 0 0 00000b 00000000011101111110011011100000b 
366       3  0 0 0 0 00000b 00000000011101111110011011100000b 
367       4  0 0 0 0 00000b 00000000011101111110011011100001b 
368       2  0 0 0 0 00000b 00000000011101111110011011100001b 
369       3  0 0 0 0 00000b 00000000011101111110011011100001b 
370       4  0 0 0 0 00000b 00000000011101111110011011100010b 
371       2  0 0 0 0 00000b 00000000011101111110011011100010b 
372       3  0 0 0 0 00000b 00000000011101111110011011100010b 
373       4  0 1 1 0 00000b 00000000011101111110011011100011b 
374       5  0 0 0 0 00000b 00000000011101111110011011100011b 
375       6  0 0 0 0 00000b 00000000011101111110011011100011b 
376       7  0 0 0 0 00001b 00000000011101111110011011100011b 
377       8  0 0 0 0 00001b 00000000011101111110011011100011b 
378       9  0 0 0 0 00001b 00000000011101111110011011100011b 
379       10 0 0 0 0 00001b 00000000011101111110011011100011b 
380       11 0 0 0 0 00001b 00000000011101111110011011100011b 
381       12 0 0 0 0 00001b 00000000011101111110011011100011b 
382       13 0 0 0 0 00001b 00000000011101111110011011100011b 
383       14 0 0 0 0 00001b 00000000011101111110011011100011b 
384       15 0 0 0 0 00001b 00000000011101111110011011100011b 
385       16 0 0 0 0 00001b 00000000011101111110011011100011b 
386       17 0 0 0 0 00001b 00000000011101111110011011100011b 
387       18 0 0 0 0 00001b 00000000011101111110011011100011b 
388       19 0 0 0 0 00001b 00000000011101111110011011100011b 
389       20 0 0 0 0 00001b 00000000011101111110011011100011b 
390       21 0 0 0 0 00001b 00000000011101111110011011100011b 
391       22 0 0 0 0 00001b 00000000011101111110011011100011b 
392       23 0 0 0 0 00001b 00000000011101111110011011100011b 
393       24 0 0 0 0 00001b 00000000011101111110011011100011b 
394       25 0 0 0 0 00001b 00000000011101111110011011100011b 
395       26 0 0 0 0 00001b 00000000011101111110011011100011b 
396       27 0 0 0 0 00001b 00000000011101111110011011100011b 
397       28 0 0 0 0 00001b 00000000011101111110011011100011b 
398       29 0 0 0 0 00001b 00000000011101111110011011100011b 
399       30 0 0 0 0 00001b 00000000011101111110011011100011b 
400       31 0 0 0 0 00001b 00000000011101111110011011100011b 
401       0  0 0 0 0 00001b 00000000011101111110011011100011b 
402       1  0 0 0 0 00001b 00000000011101111110011011100011b 
403       2  0 0 0 0 00001b 00000000011101111110011011100011b 
404       3  0 0 0 0 00001b 00000000011101111110011011100011b 
405       4  0 0 0 0 00001b 00000000011101111110011011100011b 
406       2  0 0 0 0 00001b 00000000011101111110011011100011b 
407       3  0 0 0 0 00001b 00000000011101111110011011100011b 
408       4  0 0 0 0 00010b 00000000011101111110011011100100b 
409       2  0 0 0 0 00010b 00000000011101111110011011100100b 
410       3  0 0 0 0 00010b 00000000011101111110011011100100b 
411       4  0 0 0 0 00100b 00000000011101111110011011100101b 
412       2  0 0 0 0 00100b 00000000011101111110011011100101b 
413       3  0 0 0 0 00100b 00000000011101111110011011100101b 
414       4  0 0 0 0 01000b 00000000011101111110011011100110b 
415       2  0 0 0 0 01000b 00000000011101111110011011100110b 
416       3  0 0 0 0 01000b 00000000011101111110011011100110b 
417       4  0 0 0 0 10000b 00000000011101111110011011100111b 
418       2  0 0 0 0 10000b 00000000011101111110011011100111b 
419       3  0 0 0 0 10000b 00000000011101111110011011100111b 
420       4  0 0 0 0 00000b 00000000011101111110011011101000b 
421       2  0 0 0 0 00000b 00000000011101111110011011101000b 
422       3  0 0 0 0 00000b 00000000011101111110011011101000b 
423       4  0 0 0 0 00000b 00000000011101111110011011101001b 
424       2  0 0 0 0 00000b 00000000011101111110011011101001b 
425       3  0 0 0 0 00000b 00000000011101111110011011101001b 
426       4  0 0 0 0 00000b 00000000011101111110011011101010b 
427       2  0 0 0 0 00000b 00000000011101111110011011101010b 
428       3  0 0 0 0 00000b 00000000011101111110011011101010b 
429       4  0 0 0 0 00000b 00000000011101111110011011101011b 
430       2  0 0 0 0 00000b 00000000011101111110011011101011b 
431       3  0 0 0 0 00000b 00000000011101111110011011101011b 
432       4  0 0 0 0 00000b 00000000011101111110011011101100b 
433       2  0 0 0 0 00000b 00000000011101111110011011101100b 
434       3  0 0 0 0 00000b 00000000011101111110011011101100b 
435       4  0 1 1 0 00000b 00000000011101111110011011101101b 
436       5  0 0 0 0 00000b 00000000011101111110011011101101b 
437       6  0 0 0 0 00000b 00000000011101111110011011101101b 
438       7  0 0 0 0 00001b 00000000011101111110011011101101b 
439       8  0 0 0 0 00001b 00000000011101111110011011101101b 
440       9  0 0 0 0 00001b 00000000011101111110011011101101b 
441       10 0 0 0 0 00001b 00000000011101111110011011101101b 
442       11 0 0 0 0 00001b 00000000011101111110011011101101b 
443       12 0 0 0 0 00001b 00000000011101111110011011101101b 
444       13 0 0 0 0 00001b 00000000011101111110011011101101b 
445       14 0 0 0 0 00001b 00000000011101111110011011101101b 
446       15 0 0 0 0 00001b 00000000011101111110011011101101b 
447       16 0 0 0 0 00001b 00000000011101111110011011101101b 
